text,likes,replies,predicted_stance
"Wojna zawsze niszczy więcej, niż buduje. Tylko w pokoju możemy odnaleźć drogę do wspólnego dobra. Pozdrawiamy z Republiki Suwerenów",15,1,pro-Ukraine
Lesson from the history: Ukraine should not have given up their nukes,126,47,pro-Ukraine
Yeah.... Ukraine is winning on media,106,17,pro-Ukraine
It just breaks my heart...,1,0,pro-Ukraine
"Damn, those Urkainian soldiers are so well fed..",35,6,pro-Ukraine
Interesting they won't show us the number of drones over time in recent months,21,3,pro-Ukraine
"He said: ""US and England are pissing themselves in front of Russia""",30,5,pro-Ukraine
"the AFU lost almost 38,000 men and 229 tanks during the fighting in Kursk region. Taking into account the fact that the fighting has been going on in the Kursk region since August, the AFU's monthly consumption of infantry in one direction alone amounts to 10,000 men. If we count in absolute terms (killed, seriously wounded, missing), the operation in Krynki cost the Ukrainian army about 3-5 brigades. Taking into account the known data, we can conclude that having an initial advantage and the effect of surprise, the losses of the Ukrainian grouping in Kursk region in just four months turned out to be about twice as high as in Krynki.",5,2,pro-Ukraine
10 years from now we will be seeing the terminator movie come to life,32,2,pro-Ukraine
Excuse me??? Stinger is being used to shoot down a drone? You must be on same drugs as them,5,0,pro-Ukraine
"He is right, we in the West are reluctant to respond while Putin only understands strength and personal attacks.",4,0,pro-Ukraine
Moscow sets a new record on offensive spending!,24,7,pro-Ukraine
"Moscow sets record on ""defense spending"". Defense??? How about sets new record spending on it's war of aggression against Ukraine? Misleading.",21,4,pro-Russia
"30% on ""defense"" and 10% for the big guy little ex-KGB old man with the bad combover",18,0,pro-Ukraine
Slava Ukraine 🇺🇦!!!,3,1,pro-Ukraine
"To be clear...Ukraine never possessed operational control of nuclear weapons when it declared its independence in 1991, and all were removed to Russia under a 1994 agreement in exchange for security assurances.",6,0,pro-Ukraine
"A promise is a promise, Russia were promised 'no inch to the east' no one talks about it but they want us to honor 'protection'",1,0,pro-Ukraine
"Ukraine first mistake, trusting the west. I remember them giving up their nukes.",20,1,pro-Ukraine
USSR nukes not Ukraine nukes and even then all launch codes were in Moscow,14,7,pro-Ukraine
Мужик всё по делу сказал,2,0,pro-Ukraine
Waste of equipment not gonna shoot down hypersonic missiles,1,0,pro-Ukraine
"CNN “these drones typically hit towns/villages” then proceeds to show you on exploding in a random field… when will they learn, if you haven’t got the footage or the proof, just don’t say it. There’s a reason you’re losing viewes",9,0,pro-Ukraine
Are people this delusional to belive CNN . Zelenskys victory plan ! Not one inch plus Crimea,45,5,pro-Ukraine
Ukraine made the biggest of her life by giving up her nuclear weapons in 1991!,1,0,pro-Ukraine
Is that a cat,1,0,pro-Ukraine
Ruble is crashing. Russian bots are panicking in comments,88,18,pro-Ukraine
"You are vaging ruble with western methods of calculating GDP, import and export? Are you crazy?",3,0,pro-Ukraine
"A defense drone that trails a wire with hooks along its length, multipile wires on a frame . directed towards sound with a lead algorithm.",0,0,pro-Ukraine
How many seconds do cnn need to film this,0,0,pro-Ukraine
Слава. Украйина 🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦,1,0,pro-Ukraine
"We have spent approximately 200m a day on this debacle, wrap your head around that.",5,2,pro-Ukraine
Special military precision.,0,0,pro-Ukraine
lesson from history ' dont believe usa would come to save you ',1,0,pro-Ukraine
725 millions while there are so many homeless here at home.,0,0,pro-Ukraine
U.S.S.R was not the same as RUSSIA for those claiming Ukraine had Russian nukes.,0,0,pro-Ukraine
Censored from posting “Russia️” ️,1,0,pro-Ukraine
Slava Ukraine 🇺🇦 ️,0,0,pro-Ukraine
"It’s sad, young innocent people are dying in both of sides for the new generation that will be the dark age of our history. Sad.",0,0,pro-Ukraine
"Ukraine didn't ""give up its nuclear weapons."" It had no nukes. The US removed nuclear weapons.",0,0,pro-Ukraine
You should never have gave up your nuclear weapons!,5,4,pro-Ukraine
725 million aid package is tiny compared to 175billion already given maths you no good @,0,0,pro-Ukraine
I thought they are WINNING WITH GAME CHANGER and COUNTER-OFFENSIVE IS GANING MOMENTUM?,1,0,pro-Ukraine
Slava bratskoj Rusiji 🇷🇸🇷🇺,0,0,pro-Russia
слава россия🇷🇺,2,0,pro-Ukraine
So many men die this is a shame,0,0,pro-Ukraine
"Ukraine never had own nukes. On same way even Germany,Belgium,Nederland ,Italy, Turkey also have.",0,0,pro-Ukraine
CNN & BBC,9,1,pro-Ukraine
He just said America should give them all they can to end the war in two days i guess he means end the world in two days.,0,0,pro-Ukraine
Слава. Зелениский 🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦🇺🇦,1,0,pro-Ukraine
Russian Central Bank will raise interest rates to 23% this month. Onward Comrades!,5,1,pro-Ukraine
That's BS Ukraine is inside Ukraine not Russia,0,0,pro-Ukraine
History: those was not Ukraine Nuclear weapons. It belong to the Soviet Union (Russia) at the time.,6,2,pro-Russia
"Step 1: ""Hunter's laptop is Russian disinformation"" Step 2: ""Hunter's laptop was real, but it's old news"" Step 3: ""Hunter gets a full pardon for everything he admitted to on his laptop since 2014.""",23,3,pro-Russia
This is a turning point for West to rethink about ramp up their military capabilities. If not you have to live under Russian-Chinese dominant world.,0,0,pro-Ukraine
I asked my parents for 1 million rubles today. They said “why do you need $9000? What are you going to do with all that $8500?? What will you buy using $8000???”,32,19,pro-Ukraine
Russia running out of flags,0,0,pro-Ukraine
"Who would have thought the ""second largest army"" would see its country spend a third of its budget to attack a country a tenth of its size! Paper tiger",2,0,pro-Ukraine
Meanwhile Ukrainian kamikaze drones are targeting civilians in Gorlovka where there is no Russian military activity.,0,0,pro-Ukraine
"From giving up their nukes to deciding to fight Russia instead of a peace deal. All the way to electing an actor to be your president, shows Ukraine makes bad decisions time & time again.",2,1,pro-Ukraine
"Can't believe we're going to have a president working for putin again, disgusting.",0,0,pro-Ukraine
Iran must pay for there complicity,0,0,pro-Ukraine
they will have a lot more to time to think about all this than 3 seconds when they lose money for weapons,5,5,pro-Ukraine
"The US debt is 36,000,000,000,000 dollars.",0,0,pro-Ukraine
I don’t want my taxes going to Ukraine,0,0,pro-Ukraine
Why the west forced Ukraine to give up their Nukes to Russia. At the Budapest Convention west promised to protect Ukraine. Why these American people are so pusillanimous?,0,0,pro-Russia
Please don't make people fool Ukraine was just part of Soviet nations they gave nuclear weapons to Russia for self interest and benefits to be free from Soviet nations.,0,0,pro-Ukraine
Why is America falling apart?,27,4,pro-Ukraine
America never keep their promises,9,2,pro-Ukraine
"We took there nukes in the 90s? Then why is Ru holding US responsible if Ukraine gets nukes. That doesn't make sense, if anything - since they have technological know how to produce nukes... Why not build another....",0,0,pro-Ukraine
Only thing you can depend on DT doing is lying and grifting.,0,0,pro-Ukraine
Same propaganda and lies,10,0,pro-Ukraine
Pissing themselves in front of Russia our taxpayers money should be kept in usa to build jobs for the working people not send it overseas to the killing peopleMAGA make America great again,0,0,pro-Ukraine
God bless both this two beautiful country..,0,0,pro-Ukraine
For around the $40 billion the US has sent Ukraine that sounds like enough to pay a company like black water to completely secure. The Ukrainian boarder ️,0,0,pro-Ukraine
,0,0,pro-Ukraine
Universal Healthcare in the USA ️,0,0,pro-Ukraine
Iron dome,0,0,pro-Ukraine
THE WHOLE WORLD IS LAUGHING AT YOU PUTIN!,47,16,pro-Ukraine
"We never keep our words...like we told USSR, Nato will not move east, and over the last 20 years, we have entered many many countries to Nato....and now at Russia border and using Ukraine to do our bidding....",0,0,pro-Ukraine
"I can't believe so much money ,bags and tons of money supply Ukraine but can't do nothing . And Sad Russian economy like Spain",0,0,pro-Ukraine
All my comments about the US national debt have been erased. Censorship in the USA,0,0,pro-Ukraine
Where is Gina Haspel?,0,0,pro-Ukraine
Wish they have none!,0,2,pro-Ukraine
the kitty,0,0,pro-Ukraine
250 billion wasted on this pointless war,9,0,pro-Ukraine
Ukraine’s troops in Russia are extremely exhausted and have been told to cling on or wait for Trump.,4,0,pro-Ukraine
Oreshnik,3,0,pro-Ukraine
trump has no idea what made america great....it was becuz we was willing to help others who was fighting for there freedom,8,3,pro-Ukraine
Bruh,0,0,pro-Ukraine
"Why are ALL of the British war 'churnalists' such negative, ambulance chasing whingers? They love creating melodrama where none exists. It has gotten to the stage where we just click away as soon as we hear a Brit. accent. Its like a never ending replay of the worst of the long running, depressing TV soaps they constantly consume like thirsty camels at an oasis.",0,0,pro-Ukraine
Yes protection if you could honor Minsk agreement,0,0,pro-Ukraine
Everyone seems to forget about the Ukraine national socialists during WWll,0,0,pro-Ukraine
mere propaganda by US,7,1,pro-Ukraine
the nuclear weapons that were located in Ukraine after the collapse of the Soviet Union did not belong to Ukrainians but to the Russian state.,0,0,pro-Russia
Cnn is still exists,0,0,pro-Ukraine
americans could ship batteries headlamps camping gear !!!!!,0,0,pro-Ukraine
Yawn.,0,0,pro-Ukraine
,1,0,pro-Ukraine
War cat.,0,0,pro-Ukraine
🇺🇸🇵🇷...🇺🇦🇺🇦,0,0,pro-Ukraine
Trump defunding the war. So much for democracy.,0,0,pro-Ukraine
"Dont worry, us taxpayers are apparently sending you another $725 million.",4,0,pro-Ukraine
Nk troops are flying drones,0,0,pro-Ukraine
Cnn is still exists or what,0,0,pro-Ukraine
Another CNN victory,1,0,pro-Ukraine
Ленин дал вам украину и скажите спасибо Сталину что Львов вам от Польши отдал Львов это Польша,5,0,pro-Ukraine
So sad that I question everything you post now on CNN. I used to watch everyday,9,1,pro-Ukraine
Gogo ukrein 🇺🇸🇵🇭🇳🇮🇭🇲🇪🇺🇸🇸🇩🇪🇦🇷🇸🇰🇳🇮🇯🇵🇹🇻🇨🇦󠁧󠁢󠁥󠁮󠁧󠁿🇳🇪🇸🇽🇾🇪🇻🇬🇨🇺🇮🇷,0,0,pro-Ukraine
Lmao how the fuck is it up to trump!?!? Joe Biden is the current sitting president.,0,0,pro-Ukraine
Cnn,6,1,pro-Ukraine
"I knew Trump scary self wasn't gone help them ppl, Putin best friend",0,0,pro-Russia
Ukraine already lost,8,1,pro-Ukraine
Agreement also states NATO not to encroach on Russia which he conveniently forgets to mention,1,1,pro-Ukraine
CCN. Corrupt Cable Network,11,3,pro-Ukraine
